,park_name,act_name
34,Big Bend National Park,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Paddling', 'Wildlife Watching']"
35,Big Cypress National Preserve,"['Arts and Culture', 'Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
36,Big Hole National Battlefield,"['Arts and Culture', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Snowshoeing', 'Wildlife Watching']"
37,Big South Fork National River & Recreation Area,"['Arts and Culture', 'Astronomy', 'Biking', 'Boating', 'Camping', 'Climbing', 'Fishing', 'Food', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping', 'Swimming', 'Tubing', 'Wildlife Watching']"
38,Big Thicket National Preserve,"['Biking', 'Boating', 'Camping', 'Fishing', 'Hands-On', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
39,Bighorn Canyon National Recreation Area,"['Arts and Culture', 'Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'Playground', 'Shopping', 'Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Wildlife Watching']"
40,Birmingham Civil Rights National Monument,"['Guided Tours', 'Museum Exhibits']"
41,Biscayne National Park,"['Boating', 'Camping', 'Fishing', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'SCUBA Diving', 'Shopping', 'Snorkeling', 'Swimming', 'Wildlife Watching']"
42,Black Canyon Of The Gunnison National Park,"['Camping', 'Climbing', 'Fishing', 'Hiking', 'Horse Trekking', 'Paddling', 'Skiing', 'Snowshoeing', 'Wildlife Watching']"
43,Blackstone River Valley National Historical Park,"['Biking', 'Fishing', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Paddling', 'Wildlife Watching']"
44,Blue Ridge Parkway,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Camping', 'Fishing', 'Food', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
45,Bluestone National Scenic River,"['Biking', 'Boating', 'Fishing', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Wildlife Watching']"
46,Booker T Washington National Monument,"['Arts and Culture', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film']"
47,Boston African American National Historic Site,"['Guided Tours', 'Museum Exhibits']"
48,Boston Harbor Islands National Recreation Area,"['Arts and Culture', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Paddling', 'Wildlife Watching']"
49,Boston National Historical Park,"['Fishing', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']"
