,park_name,act_name
156,Fort Sumter and Fort Moultrie National Historical Park,"['Astronomy', 'Boating', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
157,Fort Union National Monument,"['Guided Tours', 'Junior Ranger Program', 'Living History', 'Shopping']"
158,Fort Union Trading Post National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
159,Fort Vancouver National Historic Site,"['Arts and Culture', 'Biking', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Playground', 'Shopping', 'Wildlife Watching']"
160,Fort Washington Park,"['Fishing', 'Food', 'Guided Tours', 'Living History', 'Shopping']"
161,Fossil Butte National Monument,"['Auto and ATV', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Wildlife Watching']"
162,Franklin Delano Roosevelt Memorial,"['Guided Tours', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
163,Frederick Douglass National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
164,Frederick Law Olmsted National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']"
165,Fredericksburg & Spotsylvania National Military Park,"['Biking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
166,Freedom Riders National Monument,['Guided Tours']
167,Friendship Hill National Historic Site,"['Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Skiing', 'Wildlife Watching']"
168,Gates Of The Arctic National Park & Preserve,"['Camping', 'Climbing', 'Hiking', 'Hunting and Gathering', 'Paddling']"
169,Gateway Arch National Park,"['Astronomy', 'Biking', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
170,Gateway National Recreation Area,"['Biking', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Paddling', 'Swimming']"
171,Gauley River National Recreation Area,"['Boating', 'Camping', 'Fishing', 'Junior Ranger Program', 'Paddling']"
172,General Grant National Memorial,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
173,George Rogers Clark National Historical Park,"['Astronomy', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
174,George Washington Birthplace National Monument,"['Arts and Culture', 'Biking', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Paddling', 'Shopping']"
175,George Washington Carver National Monument,"['Arts and Culture', 'Food', 'Guided Tours', 'Hands-On', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
176,George Washington Memorial Parkway,"['Arts and Culture', 'Biking', 'Food', 'Wildlife Watching']"
177,Gettysburg National Military Park,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
178,Gila Cliff Dwellings National Monument,"['Astronomy', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
179,Glacier Bay National Park & Preserve,"['Arts and Culture', 'Auto and ATV', 'Boating', 'Camping', 'Climbing', 'Fishing', 'Flying', 'Food', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
180,Glacier National Park,"['Arts and Culture', 'Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Climbing', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Snow Play', 'Snowshoeing', 'Swimming']"
181,Glen Canyon National Recreation Area,"['Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Paddling', 'Shopping', 'Swimming']"
182,Glen Echo Park,"['Arts and Culture', 'Guided Tours']"
183,Gloria Dei Church National Historic Site,['Museum Exhibits']
184,Golden Gate National Recreation Area,"['Arts and Culture', 'Biking', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Shopping', 'Surfing', 'Wildlife Watching']"
185,Golden Spike National Historical Park,"['Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
186,Governors Island National Monument,"['Biking', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping']"
187,Grand Canyon National Park,"['Arts and Culture', 'Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Compass and GPS', 'Fishing', 'Flying', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
188,Grand Canyon-Parashant National Monument,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Flying', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Wildlife Watching']"
189,Grand Portage National Monument,"['Arts and Culture', 'Camping', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Wildlife Watching']"
190,Grand Teton National Park,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Climbing', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Shopping', 'Skiing', 'Snowmobiling', 'Snowshoeing', 'Water Skiing', 'Wildlife Watching']"
191,Grant-Kohrs Ranch National Historic Site,"['Guided Tours', 'Hiking', 'Living History', 'Wildlife Watching']"
192,Great Basin National Park,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Caving', 'Climbing', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Snowshoeing', 'Wildlife Watching']"
193,Great Egg Harbor River,"['Astronomy', 'Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Paddling', 'Tubing', 'Wildlife Watching']"
194,Great Falls Park,"['Guided Tours', 'Hiking', 'Paddling', 'Park Film']"
195,Great Sand Dunes National Park & Preserve,"['Arts and Culture', 'Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Climbing', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Tubing', 'Water Skiing', 'Wildlife Watching']"
196,Great Smoky Mountains National Park,"['Arts and Culture', 'Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
197,Green Springs,"['Auto and ATV', 'Biking']"
198,Greenbelt Park,"['Camping', 'Food', 'Hiking', 'Junior Ranger Program', 'Playground', 'Wildlife Watching']"
199,Guadalupe Mountains National Park,"['Auto and ATV', 'Camping', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Wildlife Watching']"
200,Guilford Courthouse National Military Park,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film']"
201,Gulf Islands National Seashore,"['Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'SCUBA Diving', 'Shopping', 'Snorkeling', 'Swimming', 'Wildlife Watching']"
202,Hagerman Fossil Beds National Monument,"['Auto and ATV', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Wildlife Watching']"
203,Haleakalā National Park,"['Camping', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Swimming']"
204,Hamilton Grange National Memorial,"['Arts and Culture', 'Guided Tours', 'Hands-On', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film']"
205,Hampton National Historic Site,"['Arts and Culture', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Shopping', 'Wildlife Watching']"
206,Harmony Hall,['Wildlife Watching']
207,Harpers Ferry National Historical Park,"['Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Shopping']"
208,Harriet Tubman National Historical Park,"['Food', 'Museum Exhibits', 'Shopping']"
209,Harriet Tubman Underground Railroad National Historical Park,"['Food', 'Guided Tours', 'Museum Exhibits', 'Park Film']"
210,Harry S Truman National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
211,Hawaiʻi Volcanoes National Park,"['Arts and Culture', 'Biking', 'Camping', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
212,Herbert Hoover National Historic Site,"['Arts and Culture', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Wildlife Watching']"
213,Historic Jamestowne Part of Colonial National Historical Park,"['Guided Tours', 'Junior Ranger Program', 'Living History']"
214,Home Of Franklin D Roosevelt National Historic Site,"['Compass and GPS', 'Guided Tours', 'Hands-On', 'Junior Ranger Program']"
215,Homestead National Historical Park,"['Arts and Culture', 'Compass and GPS', 'Food', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
216,Hono'uli'uli National Historic Site,['Shopping']
217,Hopewell Culture National Historical Park,"['Arts and Culture', 'Biking', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping']"
218,Hopewell Furnace National Historic Site,"['Arts and Culture', 'Astronomy', 'Biking', 'Compass and GPS', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Wildlife Watching']"
219,Horseshoe Bend National Military Park,"['Arts and Culture', 'Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
220,Hot Springs National Park,"['Auto and ATV', 'Biking', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
221,Hovenweep National Monument,"['Astronomy', 'Camping', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Shopping']"
222,Hubbell Trading Post National Historic Site,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Shopping']"
223,Ice Age Floods National Geologic Trail,['Guided Tours']
224,Ice Age National Scenic Trail,"['Camping', 'Fishing', 'Hands-On', 'Hiking', 'Skiing', 'Snowshoeing', 'Wildlife Watching']"
225,Independence National Historical Park,"['Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
226,Indiana Dunes National Park,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Playground', 'Shopping', 'Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Wildlife Watching']"
227,Isle Royale National Park,"['Arts and Culture', 'Astronomy', 'Boating', 'Camping', 'Fishing', 'Flying', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'SCUBA Diving', 'Shopping', 'Wildlife Watching']"
228,Iñupiat Heritage Center,"['Arts and Culture', 'Hunting and Gathering']"
229,James A Garfield National Historic Site,"['Guided Tours', 'Living History', 'Park Film', 'Shopping']"
230,Jean Lafitte National Historical Park and Preserve,"['Arts and Culture', 'Fishing', 'Guided Tours', 'Hands-On', 'Hunting and Gathering', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
231,Jewel Cave National Monument,"['Caving', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Snowshoeing', 'Wildlife Watching']"
232,Jimmy Carter National Historical Park,"['Biking', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
233,John Day Fossil Beds National Monument,"['Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film']"
234,John Fitzgerald Kennedy National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film']"
235,John Muir National Historic Site,"['Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Wildlife Watching']"
236,Johnstown Flood National Memorial,"['Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
237,Joshua Tree National Park,"['Astronomy', 'Biking', 'Camping', 'Climbing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
238,Juan Bautista de Anza National Historic Trail,"['Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Park Film', 'Shopping']"
239,Kalaupapa National Historical Park,"['Guided Tours', 'Living History', 'Museum Exhibits']"
240,Kaloko-Honokōhau National Historical Park,"['Arts and Culture', 'Biking', 'Fishing', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Wildlife Watching']"
241,Katahdin Woods and Waters National Monument,"['Biking', 'Fishing', 'Hiking', 'Hunting and Gathering', 'Paddling', 'Skiing', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching']"
242,Katmai National Park & Preserve,"['Boating', 'Camping', 'Fishing', 'Flying', 'Food', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
243,Kenai Fjords National Park,"['Astronomy', 'Boating', 'Camping', 'Climbing', 'Dog Sledding', 'Fishing', 'Flying', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching']"
244,Kenilworth Park & Aquatic Gardens,"['Arts and Culture', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
245,Kennesaw Mountain National Battlefield Park,"['Biking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits']"
246,Keweenaw National Historical Park,"['Biking', 'Compass and GPS', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film']"
247,Kings Mountain National Military Park,"['Guided Tours', 'Junior Ranger Program', 'Living History', 'Park Film']"
248,Klondike Gold Rush - Seattle Unit National Historical Park,"['Guided Tours', 'Living History', 'Museum Exhibits', 'Park Film']"
249,Klondike Gold Rush National Historical Park,"['Arts and Culture', 'Camping', 'Climbing', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Playground', 'Shopping', 'Wildlife Watching']"
250,Knife River Indian Villages National Historic Site,"['Arts and Culture', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
251,Kobuk Valley National Park,"['Boating', 'Camping', 'Fishing', 'Flying', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Shopping', 'Wildlife Watching']"
252,Korean War Veterans Memorial,"['Guided Tours', 'Junior Ranger Program']"
253,LBJ Memorial Grove on the Potomac,"['Biking', 'Hiking', 'Paddling', 'Wildlife Watching']"
254,Lake Clark National Park & Preserve,"['Astronomy', 'Biking', 'Boating', 'Camping', 'Climbing', 'Compass and GPS', 'Fishing', 'Flying', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Shopping', 'Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching']"
255,Lake Mead National Recreation Area,"['Auto and ATV', 'Biking', 'Boating', 'Camping', 'Fishing', 'Flying', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Park Film', 'SCUBA Diving', 'Shopping', 'Snorkeling', 'Swimming', 'Water Skiing', 'Wildlife Watching']"
256,Lake Meredith National Recreation Area,"['Auto and ATV', 'Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Shopping']"
257,Lake Roosevelt National Recreation Area,"['Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'Swimming']"
258,Lassen Volcanic National Park,"['Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Wildlife Watching']"
259,Lava Beds National Monument,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Caving', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Wildlife Watching']"
260,Lewis & Clark National Historic Trail,"['Auto and ATV', 'Biking', 'Boating', 'Fishing', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Shopping', 'Snowshoeing', 'Wildlife Watching']"
261,Lewis and Clark National Historical Park,"['Fishing', 'Food', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
262,Lincoln Boyhood National Memorial,"['Arts and Culture', 'Biking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
263,Lincoln Home National Historic Site,"['Arts and Culture', 'Guided Tours', 'Hands-On', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
264,Lincoln Memorial,"['Guided Tours', 'Junior Ranger Program', 'Shopping']"
265,Little Bighorn Battlefield National Monument,"['Auto and ATV', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping']"
266,Little River Canyon National Preserve,"['Auto and ATV', 'Biking', 'Climbing', 'Fishing', 'Food', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Shopping', 'Swimming', 'Wildlife Watching']"
267,Little Rock Central High School National Historic Site,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
268,Longfellow House Washington's Headquarters National Historic Site,"['Arts and Culture', 'Guided Tours', 'Hands-On', 'Junior Ranger Program', 'Museum Exhibits']"
269,Lowell National Historical Park,"['Arts and Culture', 'Boating', 'Guided Tours', 'Hands-On', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
270,Lower Delaware National Wild and Scenic River,"['Auto and ATV', 'Boating', 'Camping', 'Fishing', 'Food', 'Hiking', 'Junior Ranger Program', 'Paddling']"
271,Lower East Side Tenement Museum National Historic Site,"['Arts and Culture', 'Guided Tours', 'Living History', 'Museum Exhibits', 'Shopping']"
272,Lyndon B Johnson National Historical Park,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
273,Maggie L Walker National Historic Site,"['Guided Tours', 'Shopping']"
274,Maine Acadian Culture,"['Arts and Culture', 'Fishing', 'Food', 'Museum Exhibits']"
275,Mammoth Cave National Park,"['Astronomy', 'Biking', 'Boating', 'Camping', 'Caving', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping', 'Wildlife Watching']"
276,Manassas National Battlefield Park,"['Fishing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film']"
277,Manhattan Project National Historical Park,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']"
278,Manzanar National Historic Site,"['Biking', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
279,Marsh - Billings - Rockefeller National Historical Park,"['Arts and Culture', 'Compass and GPS', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching']"
280,"Martin Luther King, Jr. Memorial","['Guided Tours', 'Junior Ranger Program', 'Shopping']"
281,"Martin Luther King, Jr. National Historical Park","['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping']"
282,Martin Van Buren National Historic Site,"['Arts and Culture', 'Compass and GPS', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Wildlife Watching']"
283,Mary McLeod Bethune Council House National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
284,Mesa Verde National Park,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Snowshoeing', 'Wildlife Watching']"
285,Mill Springs Battlefield National Monument,"['Guided Tours', 'Museum Exhibits']"
286,Minidoka National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']"
287,Minute Man National Historical Park,"['Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Shopping']"
288,Minuteman Missile National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
289,Mississippi National River & Recreation Area,"['Biking', 'Boating', 'Compass and GPS', 'Fishing', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Skiing', 'Snow Play', 'Wildlife Watching']"
290,Missouri National Recreational River,"['Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Playground', 'Shopping', 'Skiing', 'Swimming', 'Wildlife Watching']"
291,Mojave National Preserve,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Food', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
292,Monocacy National Battlefield,"['Auto and ATV', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Shopping']"
293,Montezuma Castle National Monument,"['Arts and Culture', 'Astronomy', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Wildlife Watching']"
294,Moores Creek National Battlefield,"['Arts and Culture', 'Fishing', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping']"
295,Mormon Pioneer National Historic Trail,"['Auto and ATV', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Museum Exhibits']"
296,Morristown National Historical Park,"['Arts and Culture', 'Biking', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
297,Mount Rainier National Park,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Climbing', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching']"
298,Mount Rushmore National Memorial,"['Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
299,Muir Woods National Monument,"['Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
300,Natchez National Historical Park,"['Guided Tours', 'Museum Exhibits', 'Shopping']"
301,Natchez Trace National Scenic Trail,"['Hiking', 'Horse Trekking']"
302,Natchez Trace Parkway,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
303,National Capital Parks-East,['Biking']
304,National Mall and Memorial Parks,"['Arts and Culture', 'Biking', 'Boating', 'Fishing', 'Golfing', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Wildlife Watching']"
305,National Park of American Samoa,"['Arts and Culture', 'Hands-On', 'Hiking', 'Living History', 'Museum Exhibits', 'SCUBA Diving', 'Shopping', 'Snorkeling', 'Swimming', 'Wildlife Watching']"
306,National Parks of New York Harbor,"['Arts and Culture', 'Astronomy', 'Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Surfing', 'Swimming', 'Wildlife Watching']"
307,Natural Bridges National Monument,"['Astronomy', 'Camping', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Shopping']"
308,Navajo National Monument,"['Arts and Culture', 'Astronomy', 'Camping', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping']"
309,New Bedford Whaling National Historical Park,"['Junior Ranger Program', 'Shopping']"
310,New England National Scenic Trail,"['Camping', 'Food', 'Hiking', 'Snowshoeing']"
311,New Orleans Jazz National Historical Park,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program']"
